Timestamp,Event,Value
2025-12-08 00:42:51,Program Started,-
2025-12-08 00:43:06,Eyes Closed,0.24
2025-12-08 00:43:06,Eyes Closed,0.234
2025-12-08 00:43:07,Eyes Closed,0.204
2025-12-08 00:43:07,Eyes Closed,0.235
2025-12-08 00:43:09,Eyes Closed,0.174
2025-12-08 00:43:09,Eyes Closed,0.191
2025-12-08 00:43:09,Eyes Closed,0.188
2025-12-08 00:43:09,Eyes Closed,0.168
2025-12-08 00:43:09,Eyes Closed,0.181
2025-12-08 00:43:09,Eyes Closed,0.191
2025-12-08 00:43:09,Eyes Closed,0.175
2025-12-08 00:43:10,Eyes Closed,0.195
2025-12-08 00:43:10,Eyes Closed,0.171
2025-12-08 00:43:10,Eyes Closed,0.146
2025-12-08 00:43:10,Eyes Closed,0.187
2025-12-08 00:43:10,Eyes Closed,0.167
2025-12-08 00:43:10,Eyes Closed,0.178
2025-12-08 00:43:10,Eyes Closed,0.158
2025-12-08 00:43:10,Eyes Closed,0.161
2025-12-08 00:43:10,Eyes Closed,0.199
2025-12-08 00:43:10,Eyes Closed,0.195
2025-12-08 00:43:11,Eyes Closed,0.227
2025-12-08 00:43:11,Eyes Closed,0.202
2025-12-08 00:43:11,Eyes Closed,0.18
2025-12-08 00:43:11,Eyes Closed,0.178
2025-12-08 00:43:11,Eyes Closed,0.153
2025-12-08 00:43:11,Eyes Closed,0.17
2025-12-08 00:43:11,Eyes Closed,0.177
2025-12-08 00:43:11,Eyes Closed,0.161
2025-12-08 00:43:11,Eyes Closed,0.21
2025-12-08 00:43:11,Eyes Closed,0.186
2025-12-08 00:43:11,Eyes Closed,0.155
2025-12-08 00:43:12,Eyes Closed,0.129
2025-12-08 00:43:12,Eyes Closed,0.225
2025-12-08 00:43:14,Eyes Closed,0.166
2025-12-08 00:43:14,Eyes Closed,0.212
2025-12-08 00:43:16,Eyes Closed,0.197
2025-12-08 00:43:16,Eyes Closed,0.149
2025-12-08 00:43:16,Eyes Closed,0.132
2025-12-08 00:43:16,Eyes Closed,0.132
2025-12-08 00:43:16,Eyes Closed,0.13
2025-12-08 00:43:16,Eyes Closed,0.147
2025-12-08 00:43:17,Eyes Closed,0.153
2025-12-08 00:43:17,Eyes Closed,0.146
2025-12-08 00:43:17,Eyes Closed,0.148
2025-12-08 00:43:17,Eyes Closed,0.175
2025-12-08 00:43:17,Eyes Closed,0.219
2025-12-08 00:43:17,Eyes Closed,0.111
2025-12-08 00:43:17,Eyes Closed,0.188
2025-12-08 00:43:17,Eyes Closed,0.19
2025-12-08 00:43:18,Eyes Closed,0.199
2025-12-08 00:43:18,Eyes Closed,0.198
2025-12-08 00:43:18,Eyes Closed,0.208
2025-12-08 00:43:18,Eyes Closed,0.232
2025-12-08 00:43:18,Eyes Closed,0.237
2025-12-08 00:43:18,Eyes Closed,0.134
2025-12-08 00:43:18,Eyes Closed,0.136
2025-12-08 00:43:18,Eyes Closed,0.211
2025-12-08 00:43:19,Eyes Closed,0.201
2025-12-08 00:43:19,Eyes Closed,0.133
2025-12-08 00:43:19,Eyes Closed,0.168
