Timestamp,Event,Value
2025-12-08 01:24:31,Program Started,-
2025-12-08 01:24:45,Eyes Closed,0.19
2025-12-08 01:24:49,Head Tilt,359.44
2025-12-08 01:24:51,Eyes Closed,0.237
2025-12-08 01:24:52,Head Tilt,357.78
2025-12-08 01:24:54,Eyes Closed,0.208
2025-12-08 01:24:54,Eyes Closed,0.218
2025-12-08 01:24:57,Head Tilt,359.36
2025-12-08 01:24:58,Head Tilt,359.58
2025-12-08 01:25:00,Eyes Closed,0.124
2025-12-08 01:25:00,Head Tilt,357.5
2025-12-08 01:25:03,Head Tilt,356.59
2025-12-08 01:25:06,Eyes Closed,0.16
2025-12-08 01:25:07,Eyes Closed,0.138
2025-12-08 01:25:08,Head Tilt,359.81
2025-12-08 01:25:11,Head Tilt,359.8
2025-12-08 01:25:11,Head Tilt,359.43
2025-12-08 01:25:13,Eyes Closed,0.162
2025-12-08 01:25:14,Eyes Closed,0.144
2025-12-08 01:25:15,Eyes Closed,0.236
2025-12-08 01:25:16,Eyes Closed,0.176
2025-12-08 01:25:16,Head Tilt,358.74
2025-12-08 01:25:17,Eyes Closed,0.212
2025-12-08 01:25:21,Eyes Closed,0.204
2025-12-08 01:25:21,Yawning,0.819
2025-12-08 01:25:22,Head Tilt,358.21
2025-12-08 01:25:23,Head Tilt,359.35
2025-12-08 01:25:23,Head Tilt,30.73
2025-12-08 01:25:24,Head Tilt,31.99
2025-12-08 01:25:25,Head Tilt,353.76
2025-12-08 01:25:25,Eyes Closed,0.166
2025-12-08 01:25:27,Head Tilt,359.52
2025-12-08 01:25:27,Yawning,0.889
2025-12-08 01:25:28,Eyes Closed,0.232
2025-12-08 01:25:29,Eyes Closed,0.235
2025-12-08 01:25:30,Head Tilt,359.77
2025-12-08 01:25:31,Head Tilt,359.7
2025-12-08 01:25:34,Eyes Closed,0.236
2025-12-08 01:25:35,Yawning,0.808
2025-12-08 01:25:35,Yawning,0.804
2025-12-08 01:25:35,Yawning,0.798
2025-12-08 01:25:35,Head Tilt,359.77
2025-12-08 01:25:36,Head Tilt,359.97
2025-12-08 01:25:36,Yawning,0.82
2025-12-08 01:25:36,Head Tilt,359.75
2025-12-08 01:25:36,Head Tilt,32.02
2025-12-08 01:25:37,Head Tilt,32.33
2025-12-08 01:25:37,Head Tilt,31.1
2025-12-08 01:25:37,Head Tilt,34.29
2025-12-08 01:25:38,Yawning,0.793
2025-12-08 01:25:38,Head Tilt,358.72
2025-12-08 01:25:38,Head Tilt,35.86
2025-12-08 01:25:39,Eyes Closed,0.178
2025-12-08 01:25:39,Head Tilt,35.23
2025-12-08 01:25:39,Head Tilt,34.1
2025-12-08 01:25:41,Head Tilt,355.09
2025-12-08 01:25:41,Yawning,0.836
2025-12-08 01:25:43,Yawning,0.806
2025-12-08 01:25:43,Head Tilt,34.1
2025-12-08 01:25:44,Head Tilt,34.09
2025-12-08 01:25:45,Eyes Closed,0.132
2025-12-08 01:25:50,Eyes Closed,0.237
2025-12-08 01:25:51,Eyes Closed,0.216
2025-12-08 01:25:51,Eyes Closed,0.223
