Timestamp,Event,Value
2025-12-08 02:50:36,Program Started,-
2025-12-08 02:50:54,Eyes Closed,0.184
2025-12-08 02:50:57,SMS Alert Sent,Eyes Closed
2025-12-08 02:50:57,Head Tilt,356.81
2025-12-08 02:50:58,Eyes Closed,0.199
2025-12-08 02:50:58,Head Tilt,358.68
2025-12-08 02:50:59,Head Tilt,30.22
2025-12-08 02:51:02,Yawning,0.83
2025-12-08 02:51:02,Eyes Closed,0.216
2025-12-08 02:51:03,Eyes Closed,0.229
2025-12-08 02:51:07,Eyes Closed,0.25
2025-12-08 02:51:08,Head Tilt,30.85
2025-12-08 02:51:08,Head Tilt,30.51
2025-12-08 02:51:10,Head Tilt,31.29
2025-12-08 02:51:13,Eyes Closed,0.214
2025-12-08 02:51:13,Head Tilt,359.31
2025-12-08 02:51:14,Eyes Closed,0.189
