Timestamp,Event,Value
2025-12-08 02:56:06,Program Started,-
2025-12-08 02:56:22,Head Tilt,347.13
2025-12-08 02:56:33,Head Tilt,359.59
2025-12-08 02:56:33,Yawning,0.801
2025-12-08 02:56:38,Head Tilt,358.39
2025-12-08 02:56:44,Yawning,0.804
2025-12-08 02:56:44,Eyes Closed,0.216
2025-12-08 02:56:46,Yawning,0.842
2025-12-08 02:56:46,Head Tilt,355.84
2025-12-08 02:56:46,Eyes Closed,0.173
2025-12-08 02:56:49,Head Tilt,358.79
2025-12-08 02:56:50,Head Tilt,358.52
2025-12-08 02:56:51,Head Tilt,358.0
2025-12-08 02:56:53,Head Tilt,356.92
2025-12-08 02:56:53,Head Tilt,359.84
2025-12-08 02:56:54,Yawning,0.811
2025-12-08 02:56:54,Yawning,0.8
2025-12-08 02:56:54,Yawning,0.798
2025-12-08 02:56:54,Yawning,0.81
2025-12-08 02:56:55,Yawning,0.815
2025-12-08 02:56:55,Yawning,0.803
2025-12-08 02:56:55,Head Tilt,359.79
2025-12-08 02:56:55,Head Tilt,359.12
2025-12-08 02:56:55,Head Tilt,358.89
2025-12-08 02:56:55,Head Tilt,358.99
2025-12-08 02:56:56,Head Tilt,356.29
2025-12-08 02:56:56,Yawning,0.791
2025-12-08 02:56:57,Yawning,0.796
2025-12-08 02:56:57,Yawning,0.793
2025-12-08 02:56:57,Yawning,0.801
2025-12-08 02:56:58,Yawning,0.805
2025-12-08 02:56:58,Eyes Closed,0.242
2025-12-08 02:57:00,Head Tilt,357.24
2025-12-08 02:57:01,Head Tilt,359.69
2025-12-08 02:57:01,Yawning,0.793
2025-12-08 02:57:01,Head Tilt,359.11
2025-12-08 02:57:01,Eyes Closed,0.234
2025-12-08 02:57:01,Head Tilt,359.16
2025-12-08 02:57:01,Head Tilt,358.17
2025-12-08 02:57:05,Head Tilt,358.57
2025-12-08 02:57:05,Eyes Closed,0.12
2025-12-08 02:57:08,Head Tilt,356.1
2025-12-08 02:57:08,Eyes Closed,0.129
2025-12-08 02:57:11,Head Tilt,357.04
