Timestamp,Event,Value
2025-12-08 00:24:01,Program Started,-
2025-12-08 00:24:14,Eyes Closed,0.131
2025-12-08 00:24:15,Eyes Closed,0.155
2025-12-08 00:24:15,Eyes Closed,0.174
2025-12-08 00:24:15,Eyes Closed,0.163
2025-12-08 00:24:15,Eyes Closed,0.179
2025-12-08 00:24:15,Eyes Closed,0.193
2025-12-08 00:24:15,Eyes Closed,0.168
2025-12-08 00:24:15,Eyes Closed,0.187
2025-12-08 00:24:15,Eyes Closed,0.2
2025-12-08 00:24:15,Yawning,0.811
2025-12-08 00:24:15,Head Tilt,355.22
2025-12-08 00:24:15,Eyes Closed,0.199
2025-12-08 00:24:15,Yawning,0.821
2025-12-08 00:24:15,Head Tilt,353.38
2025-12-08 00:24:15,Eyes Closed,0.207
2025-12-08 00:24:15,Head Tilt,354.27
2025-12-08 00:24:15,Eyes Closed,0.201
2025-12-08 00:24:15,Head Tilt,355.95
2025-12-08 00:24:16,Eyes Closed,0.206
2025-12-08 00:24:16,Head Tilt,355.41
2025-12-08 00:24:16,Eyes Closed,0.193
2025-12-08 00:24:16,Head Tilt,354.58
2025-12-08 00:24:16,Eyes Closed,0.187
2025-12-08 00:24:16,Head Tilt,354.45
2025-12-08 00:24:16,Eyes Closed,0.196
2025-12-08 00:24:16,Head Tilt,356.13
2025-12-08 00:24:16,Eyes Closed,0.236
2025-12-08 00:24:16,Yawning,0.814
2025-12-08 00:24:16,Head Tilt,354.91
2025-12-08 00:24:16,Eyes Closed,0.191
2025-12-08 00:24:16,Yawning,0.819
2025-12-08 00:24:16,Head Tilt,357.07
2025-12-08 00:24:16,Eyes Closed,0.181
2025-12-08 00:24:16,Head Tilt,356.67
2025-12-08 00:24:16,Eyes Closed,0.186
2025-12-08 00:24:16,Yawning,0.823
2025-12-08 00:24:16,Head Tilt,355.7
2025-12-08 00:24:16,Eyes Closed,0.201
2025-12-08 00:24:16,Yawning,0.824
2025-12-08 00:24:16,Head Tilt,356.42
2025-12-08 00:24:17,Eyes Closed,0.173
2025-12-08 00:24:17,Yawning,0.839
2025-12-08 00:24:17,Head Tilt,356.66
2025-12-08 00:24:17,Eyes Closed,0.154
2025-12-08 00:24:17,Yawning,0.813
2025-12-08 00:24:17,Head Tilt,356.79
2025-12-08 00:24:17,Eyes Closed,0.145
2025-12-08 00:24:17,Yawning,0.813
2025-12-08 00:24:17,Head Tilt,356.64
2025-12-08 00:24:17,Eyes Closed,0.14
2025-12-08 00:24:17,Yawning,0.807
2025-12-08 00:24:17,Head Tilt,356.01
2025-12-08 00:24:17,Eyes Closed,0.143
2025-12-08 00:24:17,Eyes Closed,0.198
2025-12-08 00:24:17,Eyes Closed,0.18
2025-12-08 00:24:17,Eyes Closed,0.144
2025-12-08 00:24:17,Eyes Closed,0.159
2025-12-08 00:24:18,Eyes Closed,0.154
2025-12-08 00:24:18,Eyes Closed,0.15
2025-12-08 00:24:18,Eyes Closed,0.142
2025-12-08 00:24:18,Eyes Closed,0.135
2025-12-08 00:24:18,Eyes Closed,0.13
2025-12-08 00:24:18,Eyes Closed,0.159
2025-12-08 00:24:18,Eyes Closed,0.146
2025-12-08 00:24:18,Eyes Closed,0.164
2025-12-08 00:24:18,Eyes Closed,0.132
2025-12-08 00:24:18,Eyes Closed,0.159
2025-12-08 00:24:18,Eyes Closed,0.157
2025-12-08 00:24:18,Eyes Closed,0.176
2025-12-08 00:24:19,Eyes Closed,0.197
2025-12-08 00:24:19,Eyes Closed,0.195
2025-12-08 00:24:19,Eyes Closed,0.192
2025-12-08 00:24:19,Eyes Closed,0.138
2025-12-08 00:24:19,Eyes Closed,0.176
2025-12-08 00:24:19,Eyes Closed,0.198
2025-12-08 00:24:19,Eyes Closed,0.164
2025-12-08 00:24:19,Eyes Closed,0.181
2025-12-08 00:24:19,Eyes Closed,0.171
2025-12-08 00:24:19,Eyes Closed,0.194
2025-12-08 00:24:19,Eyes Closed,0.181
2025-12-08 00:24:20,Eyes Closed,0.208
2025-12-08 00:24:20,Eyes Closed,0.204
2025-12-08 00:24:20,Eyes Closed,0.125
2025-12-08 00:24:20,Eyes Closed,0.129
2025-12-08 00:24:20,Head Tilt,30.55
2025-12-08 00:24:20,Eyes Closed,0.123
2025-12-08 00:24:20,Head Tilt,46.12
2025-12-08 00:24:20,Eyes Closed,0.089
2025-12-08 00:24:20,Head Tilt,31.47
2025-12-08 00:24:20,Eyes Closed,0.102
2025-12-08 00:24:20,Head Tilt,45.36
2025-12-08 00:24:20,Eyes Closed,0.102
2025-12-08 00:24:20,Head Tilt,45.65
2025-12-08 00:24:20,Eyes Closed,0.085
2025-12-08 00:24:20,Head Tilt,46.53
2025-12-08 00:24:20,Eyes Closed,0.116
2025-12-08 00:24:20,Head Tilt,32.24
2025-12-08 00:24:20,Eyes Closed,0.087
2025-12-08 00:24:20,Head Tilt,32.79
2025-12-08 00:24:21,Eyes Closed,0.109
2025-12-08 00:24:21,Eyes Closed,0.176
2025-12-08 00:24:21,Head Tilt,359.62
2025-12-08 00:24:21,Head Tilt,34.41
2025-12-08 00:24:22,Head Tilt,36.45
2025-12-08 00:24:22,Head Tilt,37.78
2025-12-08 00:24:24,Eyes Closed,0.243
2025-12-08 00:24:24,Eyes Closed,0.245
2025-12-08 00:24:24,Eyes Closed,0.238
2025-12-08 00:24:24,Head Tilt,40.49
2025-12-08 00:24:24,Eyes Closed,0.246
2025-12-08 00:24:24,Head Tilt,39.27
2025-12-08 00:24:24,Eyes Closed,0.247
2025-12-08 00:24:24,Head Tilt,37.9
2025-12-08 00:24:24,Head Tilt,37.97
2025-12-08 00:24:25,Eyes Closed,0.231
2025-12-08 00:24:26,Head Tilt,40.7
2025-12-08 00:24:27,Eyes Closed,0.242
2025-12-08 00:24:27,Eyes Closed,0.237
2025-12-08 00:24:27,Eyes Closed,0.245
2025-12-08 00:24:27,Eyes Closed,0.24
2025-12-08 00:24:28,Eyes Closed,0.245
2025-12-08 00:24:28,Eyes Closed,0.246
2025-12-08 00:24:28,Eyes Closed,0.235
2025-12-08 00:24:28,Eyes Closed,0.236
2025-12-08 00:24:29,Eyes Closed,0.241
2025-12-08 00:24:29,Eyes Closed,0.243
2025-12-08 00:24:30,Eyes Closed,0.082
2025-12-08 00:24:30,Eyes Closed,0.13
2025-12-08 00:24:30,Eyes Closed,0.121
2025-12-08 00:24:30,Head Tilt,30.09
2025-12-08 00:24:30,Eyes Closed,0.21
2025-12-08 00:24:34,Head Tilt,32.01
2025-12-08 00:24:34,Head Tilt,30.28
2025-12-08 00:24:35,Eyes Closed,0.147
2025-12-08 00:24:35,Eyes Closed,0.157
2025-12-08 00:24:35,Head Tilt,30.13
2025-12-08 00:24:35,Eyes Closed,0.13
2025-12-08 00:24:35,Head Tilt,47.34
2025-12-08 00:24:35,Eyes Closed,0.114
2025-12-08 00:24:35,Head Tilt,32.22
2025-12-08 00:24:35,Eyes Closed,0.129
2025-12-08 00:24:35,Eyes Closed,0.117
2025-12-08 00:24:35,Eyes Closed,0.125
2025-12-08 00:24:35,Head Tilt,30.45
2025-12-08 00:24:35,Eyes Closed,0.184
2025-12-08 00:24:35,Eyes Closed,0.172
2025-12-08 00:24:36,Eyes Closed,0.141
2025-12-08 00:24:36,Eyes Closed,0.084
2025-12-08 00:24:36,Head Tilt,31.78
2025-12-08 00:24:36,Eyes Closed,0.105
2025-12-08 00:24:36,Head Tilt,33.28
2025-12-08 00:24:36,Eyes Closed,0.106
2025-12-08 00:24:36,Eyes Closed,0.143
2025-12-08 00:24:37,Eyes Closed,0.103
2025-12-08 00:24:37,Eyes Closed,0.145
2025-12-08 00:24:37,Eyes Closed,0.143
2025-12-08 00:24:39,Eyes Closed,0.138
2025-12-08 00:24:39,Eyes Closed,0.141
2025-12-08 00:24:39,Eyes Closed,0.098
2025-12-08 00:24:39,Eyes Closed,0.149
2025-12-08 00:24:40,Eyes Closed,0.15
2025-12-08 00:24:40,Eyes Closed,0.138
2025-12-08 00:24:40,Eyes Closed,0.151
2025-12-08 00:24:40,Eyes Closed,0.15
2025-12-08 00:24:40,Eyes Closed,0.123
2025-12-08 00:24:41,Eyes Closed,0.155
2025-12-08 00:24:41,Eyes Closed,0.167
2025-12-08 00:24:41,Eyes Closed,0.174
2025-12-08 00:24:41,Eyes Closed,0.133
2025-12-08 00:24:41,Head Tilt,31.47
2025-12-08 00:24:41,Eyes Closed,0.128
2025-12-08 00:24:41,Eyes Closed,0.115
2025-12-08 00:24:41,Eyes Closed,0.162
2025-12-08 00:24:43,Eyes Closed,0.207
2025-12-08 00:24:43,Eyes Closed,0.22
2025-12-08 00:24:43,Eyes Closed,0.122
2025-12-08 00:24:43,Eyes Closed,0.134
2025-12-08 00:24:43,Eyes Closed,0.222
2025-12-08 00:24:43,Eyes Closed,0.246
2025-12-08 00:24:43,Eyes Closed,0.238
2025-12-08 00:24:43,Head Tilt,355.59
2025-12-08 00:24:44,Eyes Closed,0.203
2025-12-08 00:24:44,Eyes Closed,0.227
2025-12-08 00:24:44,Eyes Closed,0.227
2025-12-08 00:24:45,Eyes Closed,0.213
2025-12-08 00:24:45,Eyes Closed,0.213
2025-12-08 00:24:45,Eyes Closed,0.232
2025-12-08 00:24:45,Eyes Closed,0.15
2025-12-08 00:24:45,Eyes Closed,0.232
2025-12-08 00:24:45,Eyes Closed,0.237
2025-12-08 00:24:45,Eyes Closed,0.212
2025-12-08 00:24:45,Eyes Closed,0.232
2025-12-08 00:24:45,Eyes Closed,0.204
2025-12-08 00:24:46,Eyes Closed,0.203
2025-12-08 00:24:46,Eyes Closed,0.19
2025-12-08 00:24:46,Eyes Closed,0.19
2025-12-08 00:24:46,Eyes Closed,0.178
2025-12-08 00:24:46,Eyes Closed,0.173
2025-12-08 00:24:46,Eyes Closed,0.167
2025-12-08 00:24:46,Eyes Closed,0.208
2025-12-08 00:24:46,Eyes Closed,0.18
2025-12-08 00:24:46,Eyes Closed,0.185
2025-12-08 00:24:47,Eyes Closed,0.193
2025-12-08 00:24:47,Eyes Closed,0.203
2025-12-08 00:24:47,Eyes Closed,0.212
2025-12-08 00:24:47,Eyes Closed,0.223
2025-12-08 00:24:47,Eyes Closed,0.232
2025-12-08 00:24:47,Eyes Closed,0.119
2025-12-08 00:24:47,Eyes Closed,0.227
2025-12-08 00:24:47,Eyes Closed,0.232
2025-12-08 00:24:47,Eyes Closed,0.207
2025-12-08 00:24:47,Eyes Closed,0.191
2025-12-08 00:24:47,Eyes Closed,0.201
2025-12-08 00:24:48,Eyes Closed,0.171
2025-12-08 00:24:48,Eyes Closed,0.192
2025-12-08 00:24:48,Eyes Closed,0.162
2025-12-08 00:24:48,Eyes Closed,0.146
2025-12-08 00:24:48,Eyes Closed,0.129
2025-12-08 00:24:48,Eyes Closed,0.125
2025-12-08 00:24:48,Eyes Closed,0.127
2025-12-08 00:24:48,Eyes Closed,0.137
2025-12-08 00:24:48,Eyes Closed,0.156
2025-12-08 00:24:48,Eyes Closed,0.112
2025-12-08 00:24:48,Eyes Closed,0.134
