Timestamp,Event,Value
2025-12-08 01:22:20,Program Started,-
2025-12-08 01:22:36,Eyes Closed,0.207
2025-12-08 01:22:37,Head Tilt,359.59
2025-12-08 01:22:50,Eyes Closed,0.197
2025-12-08 01:22:52,Eyes Closed,0.213
2025-12-08 01:22:56,Eyes Closed,0.234
2025-12-08 01:22:57,Eyes Closed,0.127
2025-12-08 01:23:00,Head Tilt,356.46
2025-12-08 01:23:01,Head Tilt,359.64
2025-12-08 01:23:04,Eyes Closed,0.228
2025-12-08 01:23:08,Eyes Closed,0.199
2025-12-08 01:23:09,Head Tilt,358.58
2025-12-08 01:23:10,Head Tilt,359.41
2025-12-08 01:23:10,Head Tilt,357.98
2025-12-08 01:23:12,Head Tilt,358.54
2025-12-08 01:23:12,Head Tilt,359.0
2025-12-08 01:23:14,Eyes Closed,0.183
