Timestamp,Event,Value
2025-12-08 02:59:50,Program Started,-
2025-12-08 03:00:06,Eyes Closed,0.204
2025-12-08 03:00:12,Eyes Closed,0.231
2025-12-08 03:00:12,Head Tilt,356.55
2025-12-08 03:00:12,Yawning,0.805
2025-12-08 03:00:12,Head Tilt,359.58
2025-12-08 03:00:13,Head Tilt,359.1
2025-12-08 03:00:13,Head Tilt,358.42
2025-12-08 03:00:13,Head Tilt,357.49
2025-12-08 03:00:13,Head Tilt,358.06
2025-12-08 03:00:13,Head Tilt,357.85
2025-12-08 03:00:13,Head Tilt,359.48
2025-12-08 03:00:14,Head Tilt,353.12
2025-12-08 03:00:16,Head Tilt,357.35
2025-12-08 03:00:16,Head Tilt,356.47
2025-12-08 03:00:16,Head Tilt,354.0
