Timestamp,Event,Value
2025-12-08 00:11:39,Program Started,-
2025-12-08 00:11:55,Eyes Closed,0.239
2025-12-08 00:11:55,Eyes Closed,0.229
2025-12-08 00:11:55,Eyes Closed,0.187
2025-12-08 00:11:55,Eyes Closed,0.2
2025-12-08 00:11:55,Eyes Closed,0.198
2025-12-08 00:11:55,Eyes Closed,0.226
2025-12-08 00:11:55,Eyes Closed,0.195
2025-12-08 00:11:55,Eyes Closed,0.198
2025-12-08 00:11:55,Eyes Closed,0.201
2025-12-08 00:11:55,Eyes Closed,0.186
2025-12-08 00:11:56,Eyes Closed,0.207
2025-12-08 00:11:56,Eyes Closed,0.212
2025-12-08 00:11:56,Eyes Closed,0.235
2025-12-08 00:11:56,Eyes Closed,0.234
2025-12-08 00:11:56,Eyes Closed,0.206
2025-12-08 00:11:56,Eyes Closed,0.239
2025-12-08 00:11:56,Eyes Closed,0.235
2025-12-08 00:11:56,Eyes Closed,0.205
2025-12-08 00:11:56,Eyes Closed,0.247
2025-12-08 00:11:56,Eyes Closed,0.223
2025-12-08 00:11:57,Eyes Closed,0.195
2025-12-08 00:11:57,Eyes Closed,0.202
2025-12-08 00:11:57,Eyes Closed,0.202
2025-12-08 00:11:57,Eyes Closed,0.185
2025-12-08 00:11:57,Eyes Closed,0.155
2025-12-08 00:11:57,Eyes Closed,0.135
2025-12-08 00:11:57,Eyes Closed,0.141
2025-12-08 00:11:57,Eyes Closed,0.149
2025-12-08 00:11:57,Eyes Closed,0.139
2025-12-08 00:11:57,Eyes Closed,0.185
2025-12-08 00:11:58,Eyes Closed,0.169
2025-12-08 00:11:58,Eyes Closed,0.107
2025-12-08 00:11:58,Eyes Closed,0.122
2025-12-08 00:11:58,Eyes Closed,0.118
2025-12-08 00:11:58,Eyes Closed,0.148
2025-12-08 00:11:58,Eyes Closed,0.156
2025-12-08 00:11:58,Eyes Closed,0.154
2025-12-08 00:11:58,Eyes Closed,0.185
2025-12-08 00:11:58,Eyes Closed,0.139
2025-12-08 00:11:58,Eyes Closed,0.156
2025-12-08 00:11:59,Eyes Closed,0.166
2025-12-08 00:11:59,Head Tilt,31.04
2025-12-08 00:11:59,Eyes Closed,0.165
2025-12-08 00:11:59,Eyes Closed,0.143
2025-12-08 00:11:59,Eyes Closed,0.128
2025-12-08 00:11:59,Eyes Closed,0.125
2025-12-08 00:12:00,Eyes Closed,0.144
2025-12-08 00:12:00,Eyes Closed,0.138
2025-12-08 00:12:00,Eyes Closed,0.118
2025-12-08 00:12:00,Eyes Closed,0.114
2025-12-08 00:12:00,Eyes Closed,0.151
2025-12-08 00:12:01,Eyes Closed,0.121
2025-12-08 00:12:01,Eyes Closed,0.104
2025-12-08 00:12:01,Eyes Closed,0.143
2025-12-08 00:12:01,Eyes Closed,0.164
2025-12-08 00:12:01,Eyes Closed,0.205
2025-12-08 00:12:02,Head Tilt,30.25
2025-12-08 00:12:02,Head Tilt,30.41
2025-12-08 00:12:02,Head Tilt,32.82
2025-12-08 00:12:02,Head Tilt,30.72
2025-12-08 00:12:02,Head Tilt,30.07
2025-12-08 00:12:02,Head Tilt,41.67
2025-12-08 00:12:03,Head Tilt,31.21
2025-12-08 00:12:03,Head Tilt,30.33
2025-12-08 00:12:03,Head Tilt,30.13
2025-12-08 00:12:03,Eyes Closed,0.212
2025-12-08 00:12:03,Eyes Closed,0.224
2025-12-08 00:12:04,Eyes Closed,0.219
2025-12-08 00:12:04,Eyes Closed,0.201
2025-12-08 00:12:04,Eyes Closed,0.238
2025-12-08 00:12:04,Eyes Closed,0.226
2025-12-08 00:12:04,Eyes Closed,0.235
2025-12-08 00:12:04,Eyes Closed,0.208
2025-12-08 00:12:04,Head Tilt,30.67
2025-12-08 00:12:04,Eyes Closed,0.242
2025-12-08 00:12:04,Head Tilt,31.56
2025-12-08 00:12:04,Eyes Closed,0.25
2025-12-08 00:12:04,Head Tilt,30.42
2025-12-08 00:12:04,Eyes Closed,0.239
2025-12-08 00:12:04,Eyes Closed,0.232
2025-12-08 00:12:04,Eyes Closed,0.224
2025-12-08 00:12:04,Head Tilt,359.9
2025-12-08 00:12:04,Eyes Closed,0.173
2025-12-08 00:12:04,Yawning,0.806
2025-12-08 00:12:04,Head Tilt,356.86
2025-12-08 00:12:05,Eyes Closed,0.147
2025-12-08 00:12:05,Yawning,0.815
2025-12-08 00:12:05,Head Tilt,356.53
2025-12-08 00:12:05,Eyes Closed,0.152
2025-12-08 00:12:05,Head Tilt,348.99
2025-12-08 00:12:05,Eyes Closed,0.104
2025-12-08 00:12:05,Head Tilt,355.02
2025-12-08 00:12:05,Eyes Closed,0.107
2025-12-08 00:12:05,Yawning,0.791
2025-12-08 00:12:05,Head Tilt,353.7
2025-12-08 00:12:05,Eyes Closed,0.119
2025-12-08 00:12:05,Head Tilt,351.89
2025-12-08 00:12:05,Eyes Closed,0.139
2025-12-08 00:12:05,Head Tilt,350.88
2025-12-08 00:12:05,Eyes Closed,0.115
2025-12-08 00:12:05,Head Tilt,350.89
2025-12-08 00:12:05,Eyes Closed,0.104
2025-12-08 00:12:05,Head Tilt,351.6
2025-12-08 00:12:05,Eyes Closed,0.126
2025-12-08 00:12:05,Yawning,0.849
2025-12-08 00:12:05,Head Tilt,353.72
2025-12-08 00:12:05,Eyes Closed,0.134
2025-12-08 00:12:05,Head Tilt,359.6
2025-12-08 00:12:05,Eyes Closed,0.135
2025-12-08 00:12:05,Eyes Closed,0.145
2025-12-08 00:12:06,Eyes Closed,0.135
2025-12-08 00:12:06,Eyes Closed,0.166
2025-12-08 00:12:06,Eyes Closed,0.132
2025-12-08 00:12:06,Eyes Closed,0.138
2025-12-08 00:12:06,Eyes Closed,0.166
2025-12-08 00:12:06,Eyes Closed,0.136
2025-12-08 00:12:06,Eyes Closed,0.137
2025-12-08 00:12:06,Eyes Closed,0.124
2025-12-08 00:12:06,Eyes Closed,0.171
2025-12-08 00:12:06,Eyes Closed,0.145
2025-12-08 00:12:06,Eyes Closed,0.149
