Timestamp,Event,Value
2025-12-08 01:01:36,Program Started,-
2025-12-08 01:01:51,Eyes Closed,0.153
2025-12-08 01:01:53,Head Tilt,355.92
2025-12-08 01:01:54,Head Tilt,357.96
2025-12-08 01:01:55,Eyes Closed,0.211
2025-12-08 01:01:55,Eyes Closed,0.189
2025-12-08 01:01:56,Eyes Closed,0.173
2025-12-08 01:01:59,Head Tilt,359.8
2025-12-08 01:01:59,Head Tilt,358.63
2025-12-08 01:01:59,Head Tilt,359.58
2025-12-08 01:02:00,Head Tilt,359.9
2025-12-08 01:02:01,Head Tilt,359.88
2025-12-08 01:02:05,Eyes Closed,0.142
2025-12-08 01:02:07,Head Tilt,354.9
2025-12-08 01:02:07,Yawning,0.834
2025-12-08 01:02:08,Head Tilt,357.46
2025-12-08 01:02:09,Eyes Closed,0.236
2025-12-08 01:02:10,Head Tilt,359.12
2025-12-08 01:02:11,Eyes Closed,0.225
2025-12-08 01:02:11,Eyes Closed,0.232
2025-12-08 01:02:16,Eyes Closed,0.213
2025-12-08 01:02:19,Eyes Closed,0.242
2025-12-08 01:02:19,Eyes Closed,0.212
2025-12-08 01:02:20,Eyes Closed,0.189
2025-12-08 01:02:22,Eyes Closed,0.186
2025-12-08 01:02:24,Head Tilt,358.09
2025-12-08 01:02:24,Eyes Closed,0.144
