Timestamp,Event,Value
2025-12-08 00:16:03,Program Started,-
2025-12-08 00:16:18,Head Tilt,36.76
2025-12-08 00:16:19,Eyes Closed,0.147
2025-12-08 00:16:19,Eyes Closed,0.138
2025-12-08 00:16:20,Eyes Closed,0.191
2025-12-08 00:16:20,Eyes Closed,0.173
2025-12-08 00:16:21,Head Tilt,30.47
2025-12-08 00:16:21,Eyes Closed,0.218
2025-12-08 00:16:22,Eyes Closed,0.199
2025-12-08 00:16:23,Eyes Closed,0.215
2025-12-08 00:16:25,Eyes Closed,0.242
2025-12-08 00:16:25,Eyes Closed,0.189
2025-12-08 00:16:26,Eyes Closed,0.183
2025-12-08 00:16:27,Eyes Closed,0.228
2025-12-08 00:16:27,Eyes Closed,0.083
2025-12-08 00:16:28,Head Tilt,358.53
2025-12-08 00:16:47,Eyes Closed,0.207
2025-12-08 00:16:48,Eyes Closed,0.188
2025-12-08 00:16:49,Eyes Closed,0.169
2025-12-08 00:16:49,Head Tilt,30.14
2025-12-08 00:16:50,Eyes Closed,0.184
2025-12-08 00:16:50,Eyes Closed,0.196
2025-12-08 00:16:51,Eyes Closed,0.175
2025-12-08 00:16:52,Eyes Closed,0.141
2025-12-08 00:16:52,Eyes Closed,0.157
2025-12-08 00:16:53,Head Tilt,357.82
2025-12-08 00:16:53,Eyes Closed,0.148
2025-12-08 00:16:54,Eyes Closed,0.146
2025-12-08 00:16:54,Eyes Closed,0.146
2025-12-08 00:16:55,Eyes Closed,0.2
2025-12-08 00:16:56,Eyes Closed,0.159
2025-12-08 00:16:56,Eyes Closed,0.146
2025-12-08 00:16:57,Eyes Closed,0.233
2025-12-08 00:16:57,Eyes Closed,0.179
2025-12-08 00:16:58,Head Tilt,31.4
2025-12-08 00:16:58,Eyes Closed,0.133
2025-12-08 00:16:59,Head Tilt,30.56
2025-12-08 00:16:59,Eyes Closed,0.189
2025-12-08 00:17:00,Eyes Closed,0.155
2025-12-08 00:17:01,Eyes Closed,0.137
2025-12-08 00:17:01,Eyes Closed,0.115
2025-12-08 00:17:02,Eyes Closed,0.135
2025-12-08 00:17:02,Eyes Closed,0.155
