Timestamp,Event,Value
2025-12-08 02:57:39,Program Started,-
2025-12-08 02:57:58,Head Tilt,358.81
2025-12-08 02:58:03,Eyes Closed,0.217
2025-12-08 02:58:03,Head Tilt,356.33
2025-12-08 02:58:03,Head Tilt,358.95
2025-12-08 02:58:04,Yawning,0.803
2025-12-08 02:58:04,Yawning,0.796
2025-12-08 02:58:04,Yawning,0.816
2025-12-08 02:58:05,Yawning,0.806
2025-12-08 02:58:05,Yawning,0.827
2025-12-08 02:58:05,Yawning,0.823
2025-12-08 02:58:07,Yawning,0.806
2025-12-08 02:58:07,Yawning,0.798
2025-12-08 02:58:07,Head Tilt,354.57
2025-12-08 02:58:07,Yawning,0.83
2025-12-08 02:58:08,Head Tilt,359.57
2025-12-08 02:58:09,Head Tilt,354.22
2025-12-08 02:58:10,Head Tilt,344.56
2025-12-08 02:58:14,Head Tilt,353.54
2025-12-08 02:58:14,Eyes Closed,0.18
2025-12-08 02:58:16,Head Tilt,356.77
2025-12-08 02:58:16,Eyes Closed,0.202
2025-12-08 02:58:16,Yawning,0.805
