Timestamp,Event,Value
2025-12-08 00:41:42,Eyes Closed,0.209
2025-12-08 00:41:44,Head Tilt,357.01
2025-12-08 00:41:48,Eyes Closed,0.185
2025-12-08 00:41:49,Head Tilt,358.47
2025-12-08 00:41:53,Eyes Closed,0.189
2025-12-08 00:41:58,Eyes Closed,0.135
2025-12-08 00:41:58,Head Tilt,32.91
2025-12-08 00:42:03,Eyes Closed,0.198
2025-12-08 00:42:10,Eyes Closed,0.18
2025-12-08 00:42:15,Yawning,0.792
2025-12-08 00:42:15,Eyes Closed,0.168
2025-12-08 00:42:22,Eyes Closed,0.167
2025-12-08 00:42:23,Yawning,0.787
2025-12-08 00:42:27,Eyes Closed,0.177
